City;bth_lati;bth_long;Country;App to master %;Percentile;Latitudes;sizevar
Amsterdam;52.3702157;4.8951679;Netherlands;11;2;52.3702157:4.8951679;4
Madrid;40.4167754;3.7037902;Spain;11;2;40.4167754:-3.7037902;4
Leiden;52.1601144;4.4970097;Netherlands;15;2;52.1601144:4.4970097;4
Utrecht;52.0907374;5.1214201;Netherlands;16;2;52.0907374:5.1214201;4
Norwich;52.6308859;1.297355;United Kingdom;17;2;52.6308859:1.297355;4
WÅrttemberg;49.0013609;9.5845172;Germany;18;2;49.0013609:9.5845172;4
Antwerp;51.2194475;4.4024643;Belgium;21;3;51.2194475:4.4024643;4
Lyon;45.764043;4.835659;France;21;3;45.764043:4.835659;4
Bristol;51.454513;-2.58791;United Kingdom;32;4;51.454513:-2.58791;4
Barcelona;41.3850639;2.1734035;Spain;39;4;41.3850639:2.1734035;4
London;51.5073509;-0.1277583;United Kingdom;41;5;51.5073509:-0.1277583;4
Sheffield;53.381129;1.470085;United Kingdom;47;5;53.381129:-1.470085;4
Chester;53.193392;2.893075;United Kingdom;50;5;53.193392:-2.893075;4
Rhine Region;50.73743;7.0982068;Germany;51;6;50.73743:7.0982068;4
Vienna;48.2081743;16.3738189;Austria;63;7;48.2081743:16.3738189;4
Paris;48.856614;2.3522219;France;70;7;48.856614:2.3522219;4
